"filename", "language", "PHP", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\404.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\index.php", "PHP", 19, 0, 0, 0, 12, 7, 38
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\pages\borrow\borrow.php", "PHP", 89, 0, 0, 0, 7, 18, 114
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\pages\borrow\myborrowed.php", "PHP", 27, 0, 0, 0, 2, 6, 35
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\pages\howto\book-a-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\pages\howto\my-booked-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\pages\repair\book-a-repair.php", "PHP", 145, 0, 0, 0, 12, 10, 167
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\pages\repair\my-repair-sessions.php", "PHP", 65, 0, 0, 0, 14, 6, 85
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\config.php", "PHP", 10, 0, 0, 0, 10, 3, 23
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\css.php", "PHP", 6, 0, 0, 0, 0, 0, 6
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\echo.php", "PHP", 15, 0, 0, 0, 2, 4, 21
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\js.php", "PHP", 7, 0, 0, 0, 0, 0, 7
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\new_item.php", "PHP", 20, 0, 0, 0, 6, 6, 32
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\new_repair.php", "PHP", 19, 0, 0, 0, 6, 5, 30
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\new_user.php", "PHP", 15, 0, 0, 0, 6, 5, 26
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\ssp.class.php", "PHP", 308, 0, 0, 0, 181, 82, 571
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\update_profile.php", "PHP", 14, 0, 0, 0, 1, 5, 20
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\scripts\users.php", "PHP", 19, 0, 0, 0, 23, 8, 50
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\auth\admin-login.php", "PHP", 113, 0, 0, 0, 17, 16, 146
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\auth\login.php", "PHP", 113, 0, 0, 0, 17, 16, 146
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\auth\logout.php", "PHP", 7, 0, 0, 0, 4, 3, 14
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\auth\register.php", "PHP", 149, 0, 0, 0, 42, 26, 217
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\auth\reset-password.php", "PHP", 89, 0, 0, 0, 15, 13, 117
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\misc\account.php", "PHP", 165, 0, 0, 0, 12, 16, 193
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\misc\adminheader.php", "PHP", 160, 0, 0, 0, 0, 22, 182
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\misc\footer.php", "PHP", 20, 0, 0, 0, 0, 0, 20
